"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Resultados,"Indicador de resultados","Custo por resultados","CPM (custo por 1.000 impressões) (BRL)",Alcance,Frequência,Impressões,"CTR (taxa de cliques no link)","Cliques no link","CPC (custo por clique no link) (BRL)","Visitas ao perfil do Instagram"
2025-06-01,2025-06-30,"CP70 [Conversão] Niro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP71 [Conversão] Niro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP73 [Conversão] Niro — Cópia",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP73 [Conversão] Niro — Cópia — Cópia",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP73 [Conversão] Niro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP74 [Conversão] Sportage",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP78 [Engajamento] [Gramado]",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"07 - MS [Tráfego] - Sportage",inactive,30,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"09 - MS [Conversão] - Sportage",inactive,30,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"10 - MS [Conversão] - Sportage 2",inactive,30,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"11 - MS [Geração de Cadastro] - Sportage",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"16 - MS [Conversão] [Pag RockFunnels] - Sportage Bônus 16K",inactive,30,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"MS 13 - [Cadastro][FB e Insta] - Bongo 60X - 2021",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"13 - MS [Conversão] [Pag RockFunnels] - Cerato",inactive,10,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"14 - MS [Conversão] [Pag RockFunnels] - Bongo",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"15 - MS [Conversão] [Pag RockFunnels] - Bongo",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"17 - MS [Conversão] [Pag RockFunnels] - Sportage Bônus 16K — Cópia",inactive,30,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP16 [VideoView] BONGO",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"20 - MS [Conversão] [Pag RockFunnels] - Cerato — Cópia",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP19 [Conversão] Sportage Fipe",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"20 - MS [Conversão] [Pag RockFunnels] - Cerato",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"21 - CERATO - LEAD",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP22 [VideoView] SPORTAGE com ICO",inactive,10,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP23 [Conversão] Bongo 60x",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP24 [Conversão] CERATO",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP25 [Conversão] CERATO",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP26 [Conversão] [CBO] CERATO - Feed e Stories",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP27 [Conversão] CERATO",inactive,20,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP28 [Conversão] CERATO",inactive,25,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP29 [Conversão] CERATO 3k de bônus",inactive,25,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP30 [VideoView] Cerato",inactive,10,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP31 [Conversão] CERATO 3k de bônus",inactive,25,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"[VideoView] Rio 16/10",inactive,6,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"[CADASTRO][FB e Insta] - Cerato — 16/10",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
