"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Resultados,"Indicador de resultados","Custo por resultados","CPM (custo por 1.000 impressões) (BRL)",Alcance,Frequência,Impressões,"CTR (taxa de cliques no link)","Cliques no link","CPC (custo por clique no link) (BRL)","Visitas ao perfil do Instagram"
2025-06-01,2025-06-30,"CP140 [Conversão] [MASTER]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP141 [Cadastros] NK150 emplacamento - Agosto",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP142 [Cadastros]  DR160 - Agosto",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP143 [Cadastros] Chopper - 28 Agosto",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP144 [Cadastros] Chopper - Setembro - delivery",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP146 [Cadastros] Master ride  CBO - Setembro",inactive,26.31,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP147 [Cadastros]  DR160 -Setembro",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"CP148 [Cadastros] DK 160 emplacada - Setembro",inactive,6,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"12 - [Conversão] [DK]  - Interesse delivery e mais",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"13 - [Conversão] [GXS]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"14 - [Conversão] [GSX e Hayabusa]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"15 - [Conversão] [GSX e Hayabusa]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"16 - [Conversão] [NEX]  - Interesse delivery e mais",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"16 - [Conversão] [NEX]  - Interesse delivery e mais",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"17 - [Conversão] [Lindy]  - Interesse delivery e mais",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"34 - [Conversão] [NEX]  - Interesse delivery — Cópia",inactive,6,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"35- [Conversão] [CBO] [V-Strom 1050]",inactive,"Usando o orçamento do conjunto de anúncios",0,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"36 - [Conversão] [GSX]",inactive,15,Diário,0,,,,0,0,0,0,,,,0
2025-06-01,2025-06-30,"43 - [Conversão] [NK 150]",inactive,10,Diário,0,,,,0,0,0,0,,,,0
