Relatório de campanha
1 de junho de 2025 - 30 de junho de 2025
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Impr.,Interações,Código da moeda,Custo médio,Custo,CTR,Cliques,CPC méd.,Taxa de conv.,Conversões,Custo / conv.
Pausada,23 [Pesquisa] DK 150 CBS -11 de setembro,"0,11", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,15 [Pesquisa] Vstrom800de,"3,23", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,21 [Pesquisa] Hayabusa,"3,23", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,13 [Pesquisa] Master Ride,"25,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Pausada,14 [Youtube] vstrom800de,"5,52", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Total: Campanhas, --, --, --, --, --, --,, --,139.816,4.697,BRL,"0,42","1965,75","3,34%",4.663,"0,42","9,56%","449,01","4,38"
Total: Conta,,,,,,,,,139.816,4.697,BRL,"0,42","1965,75","3,34%",4.663,"0,42","9,56%","449,01","4,38"
Total: Vídeo,,,,,,,,Vídeo,0,0,BRL,0,"0,00", --,0,0,"0,00%","0,00","0,00"
Total: Pesquisa,,,,,,,,Pesquisa,60.346,2.219,BRL,"0,68","1509,75","3,68%",2.219,"0,68","3,88%","86,01","17,55"
Total: Performance Max,,,,,,,,Performance Max,79.470,2.478,BRL,"0,18","456,00","3,08%",2.444,"0,19","14,65%","363,00","1,26"
